Country,Clicks,Impressions,CTR,Position
United States,4,884,0.45%,32.64
Singapore,1,9,11.11%,20.22
Sweden,1,5,20%,11.6
Bahamas,1,4,25%,5
Cameroon,1,1,100%,2
Iran,1,1,100%,6
United Kingdom,0,64,0%,49.91
Australia,0,58,0%,60.36
Canada,0,46,0%,38.7
India,0,25,0%,12.36
Philippines,0,12,0%,34.5
Nigeria,0,12,0%,58.58
Turkey,0,11,0%,25
Germany,0,11,0%,25.27
Pakistan,0,11,0%,46.18
Spain,0,10,0%,9.1
Brazil,0,9,0%,29.11
France,0,7,0%,8.57
Oman,0,7,0%,34.29
Portugal,0,7,0%,34.86
Italy,0,7,0%,36.14
Malaysia,0,7,0%,44
Vietnam,0,6,0%,21.67
Saudi Arabia,0,6,0%,22.33
Kenya,0,6,0%,60.83
Hong Kong,0,6,0%,81.33
South Korea,0,5,0%,15.4
Trinidad & Tobago,0,5,0%,18.6
Thailand,0,5,0%,24.2
Indonesia,0,5,0%,24.4
Egypt,0,5,0%,27
Netherlands,0,4,0%,6
Switzerland,0,4,0%,7
Dominican Republic,0,4,0%,10
Jamaica,0,3,0%,4.33
Israel,0,3,0%,8
Taiwan,0,3,0%,8.33
Ireland,0,3,0%,9.33
Bangladesh,0,3,0%,10
Argentina,0,3,0%,10.33
Poland,0,3,0%,17
Ghana,0,3,0%,33.67
Colombia,0,3,0%,35
New Zealand,0,3,0%,77
Austria,0,2,0%,5.5
Zambia,0,2,0%,5.5
Belarus,0,2,0%,6
Russia,0,2,0%,6
Peru,0,2,0%,7
United Arab Emirates,0,2,0%,9
Algeria,0,2,0%,9
Japan,0,2,0%,10
Belgium,0,2,0%,11.5
Ecuador,0,2,0%,12.5
Finland,0,2,0%,13
Norway,0,2,0%,19
Syria,0,2,0%,30
Morocco,0,2,0%,40
Mexico,0,2,0%,42
Honduras,0,2,0%,43
Uganda,0,2,0%,44.5
Libya,0,1,0%,1
Malawi,0,1,0%,2
Mozambique,0,1,0%,3
Denmark,0,1,0%,4
Iceland,0,1,0%,4
Ukraine,0,1,0%,4
Madagascar,0,1,0%,6
Macedonia,0,1,0%,6
South Africa,0,1,0%,7
Chile,0,1,0%,8
Puerto Rico,0,1,0%,8
Yemen,0,1,0%,8
Czechia,0,1,0%,9
Palestine,0,1,0%,9
Bulgaria,0,1,0%,10
Greece,0,1,0%,11
Guyana,0,1,0%,11
Romania,0,1,0%,11
Maldives,0,1,0%,12
Kyrgyzstan,0,1,0%,13
Croatia,0,1,0%,15
Uzbekistan,0,1,0%,18
Zimbabwe,0,1,0%,19
Rwanda,0,1,0%,20
Cambodia,0,1,0%,72
Nepal,0,1,0%,80
Botswana,0,1,0%,89
Kazakhstan,0,1,0%,92